ISBN,Book-Title,Book-Author,Year-Of-Publication,Original-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
100,The Complete Works of William Shakespeare,"Shakespeare, William, 1564-1616",1994,,,https://www.gutenberg.org/cache/epub/100/pg100.cover.medium.jpg,https://www.gutenberg.org/cache/epub/100/pg100.cover.medium.jpg,https://www.gutenberg.org/cache/epub/100/pg100.cover.medium.jpg
551,The Land That Time Forgot,"Burroughs, Edgar Rice, 1875-1950",1996,,,https://www.gutenberg.org/cache/epub/551/pg551.cover.medium.jpg,https://www.gutenberg.org/cache/epub/551/pg551.cover.medium.jpg,https://www.gutenberg.org/cache/epub/551/pg551.cover.medium.jpg
552,The People That Time Forgot,"Burroughs, Edgar Rice, 1875-1950",1996,,,https://www.gutenberg.org/cache/epub/552/pg552.cover.medium.jpg,https://www.gutenberg.org/cache/epub/552/pg552.cover.medium.jpg,https://www.gutenberg.org/cache/epub/552/pg552.cover.medium.jpg
553,Out of Time's Abyss,"Burroughs, Edgar Rice, 1875-1950",1996,,,https://www.gutenberg.org/cache/epub/553/pg553.cover.medium.jpg,https://www.gutenberg.org/cache/epub/553/pg553.cover.medium.jpg,https://www.gutenberg.org/cache/epub/553/pg553.cover.medium.jpg
554,The Contrast,"Tyler, Royall, 1757-1826",1996,,,https://www.gutenberg.org/cache/epub/554/pg554.cover.medium.jpg,https://www.gutenberg.org/cache/epub/554/pg554.cover.medium.jpg,https://www.gutenberg.org/cache/epub/554/pg554.cover.medium.jpg
555,The Unbearable Bassington,"Saki, 1870-1916",1996,,,https://www.gutenberg.org/cache/epub/555/pg555.cover.medium.jpg,https://www.gutenberg.org/cache/epub/555/pg555.cover.medium.jpg,https://www.gutenberg.org/cache/epub/555/pg555.cover.medium.jpg
556,Rewards and Fairies,"Kipling, Rudyard, 1865-1936",1996,,,https://www.gutenberg.org/cache/epub/556/pg556.cover.medium.jpg,https://www.gutenberg.org/cache/epub/556/pg556.cover.medium.jpg,https://www.gutenberg.org/cache/epub/556/pg556.cover.medium.jpg
557,Puck of Pook's Hill,"Kipling, Rudyard, 1865-1936",1996,,,https://www.gutenberg.org/cache/epub/557/pg557.cover.medium.jpg,https://www.gutenberg.org/cache/epub/557/pg557.cover.medium.jpg,https://www.gutenberg.org/cache/epub/557/pg557.cover.medium.jpg
558,The Thirty-Nine Steps,"Buchan, John, 1875-1940",1996,,,https://www.gutenberg.org/cache/epub/558/pg558.cover.medium.jpg,https://www.gutenberg.org/cache/epub/558/pg558.cover.medium.jpg,https://www.gutenberg.org/cache/epub/558/pg558.cover.medium.jpg
559,Greenmantle,"Buchan, John, 1875-1940",1996,,,https://www.gutenberg.org/cache/epub/559/pg559.cover.medium.jpg,https://www.gutenberg.org/cache/epub/559/pg559.cover.medium.jpg,https://www.gutenberg.org/cache/epub/559/pg559.cover.medium.jpg
560,Mr. Standfast,"Buchan, John, 1875-1940",1996,,,https://www.gutenberg.org/cache/epub/560/pg560.cover.medium.jpg,https://www.gutenberg.org/cache/epub/560/pg560.cover.medium.jpg,https://www.gutenberg.org/cache/epub/560/pg560.cover.medium.jpg
561,The Further Adventures of Robinson Crusoe,"Defoe, Daniel, 1661?-1731",1996,,,https://www.gutenberg.org/cache/epub/561/pg561.cover.medium.jpg,https://www.gutenberg.org/cache/epub/561/pg561.cover.medium.jpg,https://www.gutenberg.org/cache/epub/561/pg561.cover.medium.jpg
562,The Go Ahead Boys and the Racing Motor-Boat,"Kay, Ross",1996,,,https://www.gutenberg.org/cache/epub/562/pg562.cover.medium.jpg,https://www.gutenberg.org/cache/epub/562/pg562.cover.medium.jpg,https://www.gutenberg.org/cache/epub/562/pg562.cover.medium.jpg
563,"The Planet Mars and Its Inhabitants, a Psychic Revelation","Kennon, J. L.",1996,,,https://www.gutenberg.org/cache/epub/563/pg563.cover.medium.jpg,https://www.gutenberg.org/cache/epub/563/pg563.cover.medium.jpg,https://www.gutenberg.org/cache/epub/563/pg563.cover.medium.jpg
564,The Mystery of Edwin Drood,"Dickens, Charles, 1812-1870",1996,,,https://www.gutenberg.org/cache/epub/564/pg564.cover.medium.jpg,https://www.gutenberg.org/cache/epub/564/pg564.cover.medium.jpg,https://www.gutenberg.org/cache/epub/564/pg564.cover.medium.jpg
